participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
27,0,1,36,16,4,0,0,1,0,-1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,-1,1,,1,0,0,-1,0,1,-1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
28,2,0,51,35,9,1,-1,1,-1,-1,1,1,1,,0,1,1,-1,,1,1,1,1,1,1,,1,,1,,0,1,1,,1,,1,,-1,,,1,1,1,0,,1,,-1,,-1,,1,,1,,1,,,0,,-1,1,,,1,-1,1,,,1,,1,,1,1,,0,1,1,,,0,0,,,,,
29,2,0,25,23,2,-1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,0,32,21,5,-1,1,1,1,-1,0,1,1,1,-1,1,1,-1,1,1,1,1,1,0,0,1,1,0,-1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,1,34,25,3,0,-1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,0,52,28,2,1,1,,0,0,1,0,0,1,1,0,,1,1,1,0,1,1,1,0,,0,,1,0,1,0,1,1,0,1,0,0,0,,0,-1,,0,1,1,0,1,1,,-1,1,0,1,1,,1,,,,,,,,,,0,0,0,,1,,1,,,0,1,,,1,,,,,,,,,
33,0,6,36,14,5,1,,,-1,,,,,,0,1,,,0,0,1,0,,,0,0,1,,0,0,,,,,,,0,0,-1,,,0,0,,0,,,,1,-1,,1,,,0,,1,,,0,0,-1,,,,,0,,,,1,,,1,,,,,,,,1,-1,1,1,1,1,,
34,2,0,81,63,5,0,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,,
35,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,0,82,14,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,
37,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,1,83,46,4,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,,0,1,1,1,0,1,0,0,0,0,1,-1,0,0,1,1,1,1,1,1,0,-1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,-1,-1,0,0,1,1
